path,sha256
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_plan_20260901_184500/acceptance_criteria.json,921298613be5da4c480b370f599eb86f8e919137d8d985d8e9a05e4b495804cd
/home/rokey/cacadaca/learning/rl/robot/results/gate_f9_control_flat_same_seed40000_20260901_072500/sequences.csv,d35762c63e45e4de832fca4ac350b738496e0ada69ca83cc9c1c376e8e21f426
/home/rokey/cacadaca/learning/rl/robot/results/gate_f9_control_flat_cross_seed40000_20260901_072500/sequences.csv,35a65d00b84858071c7840bd9af96aa46289663cfd30c195df882b9cbf6890f1
/home/rokey/cacadaca/learning/rl/robot/results/gate_f9_control_cylinder_same_seed40000_20260901_072500/sequences.csv,2676bfa0599936bfe0467709adce517249aa514644a1033cdbb8beb12e773ee1
/home/rokey/cacadaca/learning/rl/robot/results/gate_f9_control_cylinder_cross_seed40000_20260901_072500/sequences.csv,92f31fc17d6171e077768fac4cc47933b31c6dbc20b1fe60c1e27fbbc2668a5c
/home/rokey/cacadaca/learning/rl/robot/results/gate_f9_control_freeform_same_seed40000_20260901_072500/sequences.csv,97e9c64c70aa70a7492992c19c51122d7bd77f0642e0f03826ccbb3359baa3c1
/home/rokey/cacadaca/learning/rl/robot/results/gate_f9_control_freeform_cross_seed40000_20260901_072500/sequences.csv,604f60436cf22832eae4327b8c25d53b81f63a6049121bbf1bc35f83dac46014
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_cylinder_cross_seed40000_20260901_184500/sequences.csv,edb77741a67640701a889b5c7899177f957f4af2890c52aac2e25a60e02e6832
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_cylinder_same_seed40000_20260901_184500/sequences.csv,1b063514952598abb20c7311f7a3fcd395ef71069e999c57c823b6170e10a5e8
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_flat_cross_seed40000_20260901_184500/sequences.csv,7b139128c479bdaa8a202ac6fc223d3586b2e70a2b85ae98b8b97d26d8b66702
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_flat_same_seed40000_20260901_184500/sequences.csv,3c7b711ded676ac2542e4e9705723e0295b1fc30e2c6ec01422f70e6d8f3ed7d
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_freeform_cross_seed40000_20260901_184500/sequences.csv,97ce8fbda4a24a0d931ba7e0ecfc314cf73495ad6a8ed2cfc2bccc2a8651f731
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_freeform_same_seed40000_20260901_184500/sequences.csv,cd76ff783759bac7ac5fa7530321b9e6690de3c26509f45a8fd830c11cca68da
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_cylinder_cross_seed40000_20260901_184500/tile_area_fractions.csv,351ee26ebaedfae7a28de07945745f58a31ff85aa107c8feca2ff721402dc025
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_cylinder_same_seed40000_20260901_184500/tile_area_fractions.csv,6338fad520f7bb11bf5f23030e45a4f618b9d006d2023ee63d127ba2d7c84701
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_flat_cross_seed40000_20260901_184500/tile_area_fractions.csv,33858b2b8813b27a22bd27d2f50f74288afc94380ad5ca08766c31618b92b976
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_flat_same_seed40000_20260901_184500/tile_area_fractions.csv,6e3a036afcc53f2f609224a7af81f83b94b3b6ed60fc54b9a7924c4ec9e8d6e1
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_freeform_cross_seed40000_20260901_184500/tile_area_fractions.csv,5961915080cf1c7286feb74ef886949754ae4e7267df4dbc5ccdaa32cbadacf7
/home/rokey/cacadaca/learning/rl/robot/results/gate_f10g2_curvature_safety_v2_freeform_same_seed40000_20260901_184500/tile_area_fractions.csv,8d6881eb05e3f2e061ffa3ac30041a638296df8006b5a014242314984e712782
